Protein,Protein Description,Protein Gene,A01-511-84A-C4-001 Sum Normalized Area,A02-Hoof17-002 Sum Normalized Area,A03-304-75B-B4-003 Sum Normalized Area,A04-450-08A-C7-004 Sum Normalized Area,A05-051-21B-D6-005 Sum Normalized Area,A06-510-08B-C8-006 Sum Normalized Area,A07-912-46A-A9-007 Sum Normalized Area,A08-492-84B-B8-008 Sum Normalized Area,A09-159-21A-D7-009 Sum Normalized Area,A10-990-46B-A8-010 Sum Normalized Area,A11-EISAIPool-011 Sum Normalized Area,A12-278-75A-B6-012 Sum Normalized Area,B01-041-40B-B1-013 Sum Normalized Area,B02-934-43A-A2-014 Sum Normalized Area,B03-959-40A-A5-015 Sum Normalized Area,B04-EISAIPool-016 Sum Normalized Area,B05-334-76A-B9-017 Sum Normalized Area,B06-GWPool-018 Sum Normalized Area,B07-168-16A-D3-019 Sum Normalized Area,B08-009-43B-A3-020 Sum Normalized Area,B09-316-76B-C3-021 Sum Normalized Area,B10-062-16B-D5-022 Sum Normalized Area,B11-Hoof17-023 Sum Normalized Area,B12-GWPool-024 Sum Normalized Area,C01-027-37B-B3-025 Sum Normalized Area,C02-907-45A-B2-026 Sum Normalized Area,C03-EISAIPool-027 Sum Normalized Area,C04-155-17A-D1-028 Sum Normalized Area,C05-166-20A-D8-029 Sum Normalized Area,C06-249-64B-B5-030 Sum Normalized Area,C07-985-45B-A1-031 Sum Normalized Area,C08-Hoof17-032 Sum Normalized Area,C09-956-37A-A6-033 Sum Normalized Area,C10-216-64A-C2-034 Sum Normalized Area,C11-056-20B-D9-035 Sum Normalized Area,C12-046-17B-C9-036 Sum Normalized Area,D01-GWPool-037 Sum Normalized Area,D02-039-25B-D2-038 Sum Normalized Area,D03-043-24B-C5-039 Sum Normalized Area,D04-084-86A-C1-040 Sum Normalized Area,D05-EISAIPool-041 Sum Normalized Area,D06-152-24A-D4-042 Sum Normalized Area,D07-099-86B-B7-043 Sum Normalized Area,D08-880-56A-A7-044 Sum Normalized Area,D09-GWPool-045 Sum Normalized Area,D10-143-25A-C6-046 Sum Normalized Area,D11-970-56B-A4-047 Sum Normalized Area,D12-Hoof17-048 Sum Normalized Area
sp|B1AL88|NALF1_HUMAN,NALCN channel auxiliary factor 1 OS=Homo sapiens OX=9606 GN=NALF1 PE=1 SV=1,NALF1,1.0619E+4,1.0662E+4,1.6515E+4,1.0248E+4,2.0580E+4,1.3030E+4,1.2216E+4,1.0048E+4,1.3060E+4,1.1421E+4,1.3813E+4,1.0667E+4,4.9395E+3,1.4754E+4,9.9204E+3,1.0817E+4,7.0600E+3,1.2807E+4,9.7352E+3,1.4511E+4,1.4494E+4,9.4190E+3,1.2247E+4,5.2894E+3,1.1510E+4,7.2938E+3,1.9014E+4,1.7238E+4,1.1264E+4,2.2548E+4,1.3516E+4,1.1669E+4,3.8211E+3,1.1407E+4,1.2508E+4,1.2951E+4,3.8247E+3,9.1956E+3,7.8404E+3,7.0452E+3,1.1757E+4,3.8678E+3,3.8229E+3,1.6083E+4,3.0628E+3,1.7717E+4,2.2947E+4,1.4554E+4
sp|O75223|GGCT_HUMAN,Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1,GGCT,4.1569E+4,4.8952E+4,3.6824E+4,3.7518E+4,4.6995E+4,4.4849E+4,4.7957E+4,3.9498E+4,5.0806E+4,4.3779E+4,6.4438E+4,4.8377E+4,3.4150E+4,3.3605E+4,5.1398E+5,4.2095E+4,3.6537E+4,8.9691E+4,4.9393E+4,5.6425E+4,4.3072E+4,2.9829E+4,6.5872E+4,4.6872E+4,4.2281E+4,2.5532E+4,4.0771E+4,3.9922E+4,4.9845E+4,4.8910E+4,4.2260E+4,6.2442E+4,2.7251E+4,3.4783E+4,3.1246E+4,3.7390E+4,3.6519E+4,5.0079E+4,3.5315E+4,3.5438E+4,2.5896E+4,4.5375E+4,2.7069E+4,3.0129E+4,4.0196E+4,4.1572E+4,6.6258E+4,6.1724E+4
sp|P02751|FINC_HUMAN,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,FN1,1.7833E+8,3.3154E+8,3.3193E+8,2.4950E+8,2.4501E+8,2.9807E+8,3.3442E+8,1.8762E+8,2.7184E+8,2.6795E+8,2.9524E+8,3.8546E+8,7.2221E+8,2.4517E+8,2.5884E+8,2.8630E+8,3.5437E+8,1.1683E+8,2.2999E+8,2.9217E+8,3.4447E+8,2.4324E+8,3.7124E+8,1.3247E+8,4.3238E+8,1.9527E+8,2.6781E+8,2.5756E+8,2.6493E+8,3.9723E+8,1.9946E+8,4.2832E+8,3.3201E+8,3.9269E+8,2.7086E+8,1.9731E+8,9.7405E+7,3.4078E+8,2.1960E+8,1.6474E+8,2.2315E+8,1.6081E+8,1.5529E+8,1.8611E+8,1.1792E+8,3.6579E+8,2.9865E+8,3.7752E+8
sp|P04114|APOB_HUMAN,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=3,APOB,3.1474E+6,1.0439E+7,3.5358E+6,3.8435E+6,5.2666E+6,8.8490E+6,5.3095E+6,3.9316E+6,2.9789E+6,3.9362E+6,7.2706E+6,3.0457E+6,1.0116E+8,3.1642E+6,2.5491E+6,6.9894E+6,3.3849E+6,1.1166E+8,2.4701E+6,4.1238E+6,3.3764E+6,2.6959E+6,1.3943E+7,1.3163E+8,6.3374E+6,1.7062E+6,6.8212E+6,2.1656E+6,2.5314E+6,2.9784E+6,1.7293E+6,1.6077E+7,3.8583E+6,3.2366E+6,3.8646E+6,1.7784E+6,1.1618E+8,5.7443E+6,2.8343E+6,2.3823E+6,6.9616E+6,1.8410E+6,2.2741E+6,1.5288E+6,1.1720E+8,3.0560E+6,3.8119E+6,1.6077E+7
sp|P51991|ROA3_HUMAN,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,2.8100E+4,8.3295E+3,6.6281E+3,1.2195E+4,6.9758E+3,1.4912E+4,5.8570E+3,1.5111E+4,4.8122E+3,9.7745E+3,9.4396E+3,1.5546E+4,1.2843E+4,2.2909E+3,8.1979E+3,1.2330E+4,9.7001E+3,6.8715E+3,7.2639E+3,1.3147E+4,1.1219E+4,2.1081E+3,1.4266E+4,6.2849E+3,3.1760E+4,9.5900E+3,1.4189E+4,8.5209E+3,6.8051E+3,9.2985E+3,6.4248E+3,1.7072E+4,1.1265E+4,9.6041E+3,3.0485E+3,6.8314E+3,4.2786E+3,1.9113E+4,1.0948E+4,6.1068E+3,5.6121E+3,8.4205E+3,7.1995E+3,5.1413E+3,8.9507E+3,1.0707E+4,8.5219E+3,5.2620E+3
sp|Q14019|COTL1_HUMAN,Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3,COTL1,1.8152E+4,6.0151E+4,1.7824E+4,2.3616E+4,1.2090E+4,1.9828E+4,1.1478E+4,1.7772E+4,1.9494E+4,1.6177E+4,1.6454E+4,3.7907E+4,1.3665E+4,2.4255E+4,2.2579E+4,1.6549E+4,2.2533E+4,3.2197E+4,2.3120E+4,1.4446E+4,1.3480E+4,2.4949E+4,7.4382E+4,2.5362E+4,7.8085E+3,2.6546E+4,2.3901E+4,3.0219E+4,1.7909E+4,2.7042E+4,2.5444E+4,6.5452E+4,1.0689E+4,2.4696E+4,1.0543E+4,3.2128E+4,4.4464E+4,1.9615E+4,1.6036E+4,6.9228E+3,1.1946E+4,1.7411E+4,8.1976E+3,1.8579E+4,3.8191E+4,1.2373E+4,2.4775E+4,9.6496E+4
sp|Q16658|FSCN1_HUMAN,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,FSCN1,1.4238E+5,6.8337E+5,1.5342E+5,5.6928E+4,1.0543E+5,1.0231E+5,9.4856E+4,1.3995E+5,1.3101E+5,8.4722E+4,7.9973E+4,1.1491E+5,9.2449E+4,9.7609E+4,1.2561E+5,8.7568E+4,1.2404E+5,1.7004E+5,6.2809E+4,1.1159E+5,8.5799E+4,9.0296E+4,6.7853E+5,2.0679E+5,9.9543E+4,5.6562E+4,9.6917E+4,1.0558E+5,1.0066E+5,1.3759E+5,8.5258E+4,6.4979E+5,1.4164E+5,1.2090E+5,1.0820E+5,8.4274E+4,1.8633E+5,1.7473E+5,1.2308E+5,8.1148E+4,6.7007E+4,7.4506E+4,8.7051E+4,7.3025E+4,1.6856E+5,1.4999E+5,1.7445E+5,7.3908E+5
sp|Q504Y2|PKDCC_HUMAN,Extracellular tyrosine-protein kinase PKDCC OS=Homo sapiens OX=9606 GN=PKDCC PE=1 SV=2,PKDCC,1.4315E+5,1.3175E+5,1.6715E+5,1.3002E+5,8.2993E+4,1.4556E+5,1.3858E+5,1.6267E+5,1.1480E+5,1.0668E+5,1.6754E+5,2.1616E+5,1.5796E+5,1.2814E+5,1.7161E+5,1.2052E+5,1.8306E+5,3.5589E+4,1.1326E+5,1.4371E+5,1.6653E+5,1.1861E+5,1.4284E+5,3.8246E+4,2.0541E+5,9.9232E+4,1.2104E+5,1.0922E+5,1.5735E+5,1.4563E+5,1.2755E+5,1.6878E+5,2.1039E+5,1.3849E+5,1.7992E+5,9.9630E+4,2.6944E+4,1.8039E+5,1.8222E+5,1.2177E+5,1.1781E+5,1.3339E+5,8.8131E+4,1.0660E+5,2.9868E+4,1.4802E+5,1.4896E+5,1.7258E+5
sp|Q6UWJ1|TMCO3_HUMAN,Transmembrane and coiled-coil domain-containing protein 3 OS=Homo sapiens OX=9606 GN=TMCO3 PE=1 SV=1,TMCO3,5.6973E+3,4.7072E+3,1.5942E+3,3.4158E+3,4.1100E+3,2.5296E+3,4.8510E+3,3.9900E+3,3.1817E+3,1.4315E+3,2.6370E+3,5.4484E+3,4.9850E+3,4.9855E+3,2.0398E+3,2.6163E+3,9.6338E+3,8.5199E+2,1.8408E+3,3.7062E+3,5.5663E+3,3.4570E+3,3.7724E+3,1.8651E+3,2.1033E+3,5.8732E+3,4.3470E+3,5.8548E+3,2.6079E+3,4.3333E+3,5.4042E+3,1.0941E+4,3.5739E+3,4.5063E+3,5.4417E+2,6.7470E+3,1.8458E+3,5.1764E+3,4.0987E+3,3.4593E+3,4.9618E+3,4.0961E+3,2.0790E+3,2.0704E+3,9.7409E+2,6.8230E+3,5.8394E+3,3.6824E+3
sp|Q8NFT8|DNER_HUMAN,Delta and Notch-like epidermal growth factor-related receptor OS=Homo sapiens OX=9606 GN=DNER PE=1 SV=1,DNER,1.1297E+6,1.8896E+6,2.1365E+6,1.5815E+6,1.5961E+6,2.1136E+6,1.6868E+6,1.2766E+6,1.6536E+6,1.3341E+6,2.0712E+6,2.4760E+6,1.3358E+6,1.5187E+6,1.9027E+6,1.6210E+6,1.8993E+6,1.1584E+6,2.0098E+6,2.1825E+6,2.0964E+6,2.1660E+6,1.9874E+6,1.1909E+6,1.6237E+6,1.6696E+6,1.7666E+6,1.8659E+6,2.0190E+6,3.4272E+6,1.3886E+6,2.4367E+6,1.5679E+6,3.3308E+6,2.5404E+6,1.7191E+6,1.2199E+6,1.9017E+6,1.7494E+6,1.2443E+6,1.5249E+6,1.1105E+6,1.1956E+6,1.2654E+6,1.1440E+6,2.2519E+6,2.6100E+6,2.0956E+6
sp|Q8TAL6|FIBIN_HUMAN,Fin bud initiation factor homolog OS=Homo sapiens OX=9606 GN=FIBIN PE=1 SV=1,FIBIN,9.8025E+4,7.1754E+4,1.2043E+5,1.0162E+5,1.0592E+5,1.2792E+5,1.0664E+5,1.3911E+5,1.5449E+5,8.8163E+4,1.3070E+5,1.7454E+5,7.3341E+4,1.2297E+5,8.3274E+4,8.3526E+4,7.1784E+4,2.0242E+4,6.9539E+4,1.0816E+5,9.6661E+4,9.6218E+4,8.7490E+4,2.0043E+4,1.1505E+5,1.0602E+5,7.1421E+4,1.0021E+5,1.3956E+5,1.2754E+5,1.2779E+5,1.0372E+5,1.3876E+5,1.4644E+5,1.6145E+5,8.8576E+4,1.8416E+4,1.0936E+5,1.2900E+5,8.4553E+4,7.0559E+4,8.6684E+4,8.2993E+4,8.5351E+4,1.1834E+4,1.2881E+5,2.0694E+5,1.1489E+5
sp|Q8TEU8|WFKN2_HUMAN,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 OS=Homo sapiens OX=9606 GN=WFIKKN2 PE=1 SV=1",WFIKKN2,9.0778E+6,3.4491E+6,2.7750E+6,3.1408E+6,3.1740E+6,4.3653E+6,3.0991E+6,9.3778E+6,3.1070E+6,2.5026E+6,4.5299E+6,2.7881E+6,1.9198E+6,4.4788E+6,3.5819E+6,4.1775E+6,4.5570E+6,8.2024E+6,3.7346E+6,4.6153E+6,6.1438E+6,4.1079E+6,4.3584E+6,8.1718E+6,3.1351E+6,6.8854E+6,3.7633E+6,4.7454E+6,4.9845E+6,3.7208E+6,5.8560E+6,4.9946E+6,2.5596E+6,4.2810E+6,6.9125E+6,4.2061E+6,7.7188E+6,1.3550E+6,2.5783E+6,3.5940E+6,3.7702E+6,2.7073E+6,4.0028E+6,3.8226E+6,8.1119E+6,2.2317E+6,4.5014E+6,3.6635E+6
sp|Q96EE4|CC126_HUMAN,Coiled-coil domain-containing protein 126 OS=Homo sapiens OX=9606 GN=CCDC126 PE=1 SV=2,CCDC126,2.1659E+5,2.4920E+5,4.7286E+5,1.8754E+5,3.1874E+5,3.6564E+5,2.4624E+5,3.2434E+5,4.2598E+5,2.0074E+5,2.4082E+5,3.4320E+5,2.3267E+5,3.1574E+5,2.9361E+5,3.3356E+5,2.0754E+5,1.7077E+4,2.3784E+5,2.5544E+5,2.1317E+5,3.5491E+5,3.7410E+5,1.9088E+4,3.0403E+5,2.3792E+5,2.0062E+5,3.5390E+5,2.4537E+5,4.1491E+5,3.1910E+5,3.2136E+5,2.5990E+5,4.8808E+5,3.4584E+5,4.0336E+5,1.6264E+4,2.6166E+5,3.2480E+5,2.2863E+5,2.4185E+5,2.4488E+5,2.3568E+5,3.2159E+5,1.7118E+4,4.8007E+5,5.8262E+5,5.0621E+5
sp|Q96F85|CNRP1_HUMAN,CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens OX=9606 GN=CNRIP1 PE=1 SV=1,CNRIP1,1.2535E+4,2.4524E+4,1.4775E+4,9.6476E+3,1.8476E+4,1.2876E+4,1.9416E+4,1.0766E+4,1.8099E+4,1.0332E+4,1.7785E+4,1.2711E+4,8.5195E+3,9.9004E+3,8.0939E+3,1.3390E+4,1.6237E+4,6.5968E+3,1.1395E+4,9.4992E+3,1.9288E+4,1.2820E+4,2.5755E+4,5.8490E+3,2.5985E+4,1.4118E+4,1.5798E+4,1.9775E+4,1.7434E+4,1.9668E+4,7.3958E+3,2.7752E+4,8.0091E+3,1.8444E+4,1.5343E+4,8.0796E+3,5.2064E+3,1.9150E+4,1.5519E+4,6.2537E+3,1.6314E+4,8.2317E+3,1.1009E+4,8.9660E+3,5.4015E+3,1.9744E+4,2.0049E+4,3.6326E+4
sp|Q96GD0|PLPP_HUMAN,Chronophin OS=Homo sapiens OX=9606 GN=PDXP PE=1 SV=2,PDXP,5.6799E+4,2.0769E+5,1.5606E+5,6.1878E+4,6.8937E+4,6.3471E+4,1.7459E+5,7.9507E+4,1.0508E+5,1.0960E+5,1.3381E+5,9.2012E+4,1.1791E+5,4.8328E+4,1.3342E+5,1.0220E+5,1.2269E+5,1.9543E+5,8.0962E+4,9.3286E+4,9.7169E+4,7.7407E+4,2.2363E+5,2.3187E+5,9.9902E+4,5.7355E+4,1.2247E+5,1.4054E+5,9.9671E+4,9.7091E+4,5.9188E+4,2.3900E+5,7.6678E+4,1.1449E+5,1.1728E+5,1.2194E+5,1.6192E+5,8.9447E+4,1.1548E+5,7.0822E+4,1.0239E+5,5.1634E+4,5.2513E+4,8.6522E+4,2.1417E+5,9.8962E+4,1.5131E+5,1.4521E+5
sp|Q96RR4|KKCC2_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=CAMKK2 PE=1 SV=2,CAMKK2,4.0286E+4,9.1197E+4,6.8381E+4,4.1292E+4,3.8142E+4,3.6694E+4,5.3003E+4,2.7480E+4,2.2168E+4,9.4785E+4,2.7740E+4,5.7922E+4,5.0490E+4,5.2477E+4,8.0735E+4,1.4772E+4,1.6298E+4,1.4487E+5,7.1573E+4,6.1727E+4,1.5570E+5,7.9020E+4,1.2502E+5,8.2317E+4,3.7075E+4,5.3359E+4,8.3705E+4,1.6220E+5,8.8392E+4,7.6102E+4,5.6681E+4,5.3330E+4,1.4814E+4,9.9890E+4,4.4014E+4,1.1821E+5,1.4044E+5,3.3063E+4,1.6907E+4,3.9082E+4,5.3894E+4,4.8747E+4,4.6425E+4,5.7925E+4,3.6088E+4,4.4667E+4,4.4621E+4,8.2684E+4
sp|Q99985|SEM3C_HUMAN,Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=1 SV=2,SEMA3C,5.0592E+4,5.4474E+4,4.5810E+4,2.6290E+4,3.3617E+4,3.6750E+4,2.9060E+4,5.5142E+4,3.1536E+4,2.5874E+4,4.5676E+4,4.7014E+4,2.1938E+4,3.2385E+4,2.3474E+4,3.0546E+4,3.8232E+4,2.2766E+4,2.3978E+4,2.6469E+4,6.4225E+4,3.2818E+4,4.7575E+4,2.0763E+4,4.2952E+4,4.2887E+4,3.4871E+4,4.0909E+4,3.5065E+4,4.3045E+4,4.6608E+4,6.2089E+4,5.4020E+4,3.2732E+4,2.3284E+4,2.9995E+4,1.8546E+4,3.1049E+4,5.1336E+4,2.6020E+4,2.5253E+4,3.7066E+4,2.4344E+4,2.9528E+4,2.1450E+4,3.1028E+4,4.3222E+4,6.6773E+4
sp|Q9HCQ5|GALT9_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 9 OS=Homo sapiens OX=9606 GN=GALNT9 PE=1 SV=3,GALNT9,9.0554E+3,2.1036E+4,2.2212E+4,2.5682E+4,1.5801E+4,2.6499E+4,2.0219E+4,1.9148E+4,3.7561E+4,2.8448E+4,2.5674E+4,2.9472E+4,1.2048E+4,2.2134E+4,2.2206E+4,2.2285E+4,4.0660E+4,2.1903E+3,3.2351E+4,2.9038E+4,1.6850E+4,3.6260E+4,2.5272E+4,5.6631E+2,1.6400E+4,1.3779E+4,2.1125E+4,2.6106E+4,2.9103E+4,7.4097E+4,1.9339E+4,1.6226E+4,2.5902E+4,5.5703E+4,4.4711E+4,3.0957E+4,2.8482E+2,3.8354E+4,9.6348E+3,2.9170E+4,1.5302E+4,1.0557E+4,1.2128E+4,1.3019E+4,1.6991E+3,3.6596E+4,4.6825E+4,2.2592E+4
sp|Q9ULB5|CADH7_HUMAN,Cadherin-7 OS=Homo sapiens OX=9606 GN=CDH7 PE=1 SV=2,CDH7,3.4183E+5,5.7962E+5,4.8959E+5,4.7136E+5,5.2833E+5,7.1586E+5,4.8342E+5,3.6405E+5,5.8763E+5,3.8138E+5,5.3263E+5,5.1482E+5,4.1528E+5,5.3779E+5,6.2048E+5,5.0609E+5,4.4594E+5,5.7496E+5,4.9023E+5,5.4781E+5,5.8664E+5,5.5619E+5,6.1440E+5,7.6434E+5,2.8613E+5,3.8396E+5,5.3422E+5,6.1579E+5,6.1828E+5,6.0983E+5,3.2598E+5,7.1951E+5,2.8400E+5,7.6655E+5,6.5426E+5,6.0202E+5,7.4397E+5,4.7025E+5,4.2390E+5,3.9047E+5,3.8528E+5,3.0499E+5,3.6067E+5,3.7360E+5,6.4270E+5,5.4793E+5,7.0180E+5,6.8657E+5
sp|Q9UNZ2|NSF1C_HUMAN,NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2,NSFL1C,3.4930E+4,7.5650E+4,2.8359E+4,2.5548E+4,4.8150E+4,2.5885E+4,2.1522E+4,3.9938E+4,3.3080E+4,2.4168E+4,2.6371E+4,3.1822E+4,3.9333E+4,2.8740E+4,2.2670E+4,1.9392E+4,2.5638E+4,1.9771E+4,3.2581E+4,4.8321E+4,3.7620E+4,4.9493E+4,1.1848E+5,2.7690E+4,2.0928E+4,3.0936E+4,1.8472E+4,2.6471E+4,2.7674E+4,4.1058E+4,4.2174E+4,1.5231E+5,4.0628E+4,2.7132E+4,3.2339E+4,3.2278E+4,1.7140E+4,2.7206E+4,2.6806E+4,1.5381E+4,2.4422E+4,2.9608E+4,2.6114E+4,2.1558E+4,2.1835E+4,5.2048E+4,4.2826E+4,9.0038E+4
sp|A8K2U0|A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3,A2ML1,4.1959E+4,2.9911E+4,4.8601E+4,4.1781E+4,4.8615E+4,3.3088E+4,5.1425E+4,4.3992E+4,4.2110E+4,3.5068E+4,5.0078E+4,4.8274E+4,2.9952E+5,3.4635E+4,4.4146E+5,3.1864E+4,3.2974E+4,9.8723E+4,3.3057E+4,2.8518E+4,3.3685E+4,3.2674E+4,4.2069E+4,2.9319E+4,3.6999E+4,3.3883E+4,4.3321E+4,2.5787E+4,3.5822E+4,4.0286E+4,2.8286E+4,4.3171E+4,5.8238E+4,4.7876E+4,3.7263E+4,2.6828E+4,2.6217E+4,3.7685E+4,3.5678E+4,2.7378E+4,4.1351E+4,2.5347E+4,2.8105E+4,3.2149E+4,3.5649E+4,5.3479E+4,5.1968E+4,3.2993E+4
sp|P05120|PAI2_HUMAN,Plasminogen activator inhibitor 2 OS=Homo sapiens OX=9606 GN=SERPINB2 PE=1 SV=2,SERPINB2,7.0185E+3,1.7970E+4,1.5826E+4,1.5259E+4,8.6310E+3,1.6656E+4,1.2401E+4,1.6868E+4,1.4478E+4,6.3293E+3,1.1706E+4,2.6448E+4,1.2075E+4,7.5765E+3,9.8571E+4,3.7750E+3,5.8627E+3,1.5728E+4,1.8046E+4,6.1477E+3,6.4854E+3,9.5870E+3,1.7008E+4,5.8788E+3,9.6077E+3,3.3722E+3,2.2854E+3,6.1429E+3,9.7172E+3,1.0732E+4,3.0025E+3,2.4641E+4,1.5902E+4,1.7322E+4,5.4483E+3,6.5658E+3,1.0969E+4,7.2883E+3,7.4831E+3,1.4904E+4,5.8022E+3,1.1110E+4,2.0633E+4,8.7989E+3,9.8879E+3,1.7313E+4,1.0060E+4,6.0597E+3
sp|P16083|NQO2_HUMAN,Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5,NQO2,2.6597E+4,6.7083E+4,2.8207E+4,2.4001E+4,4.5617E+4,3.8221E+4,5.2589E+4,3.3279E+4,8.7300E+4,3.4163E+4,3.2724E+4,3.1786E+4,2.4148E+4,1.7533E+4,3.5588E+4,3.7846E+4,1.1119E+4,2.3586E+4,4.4161E+4,2.4086E+4,1.0249E+4,3.0788E+4,7.3217E+4,3.2496E+4,4.3820E+4,1.5927E+4,2.8072E+4,4.3279E+4,3.8365E+4,2.5446E+4,2.5379E+4,8.1752E+4,3.0007E+4,3.4907E+4,3.1102E+4,4.9324E+4,2.2821E+4,3.9366E+4,3.6642E+4,3.1041E+4,3.0418E+4,2.6184E+4,2.2260E+4,3.7253E+4,1.5770E+4,3.4491E+4,3.2969E+4,7.2481E+4
sp|P28715|ERCC5_HUMAN,DNA excision repair protein ERCC-5 OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=3,ERCC5,3.3729E+3,3.3943E+3,5.9523E+3,2.5251E+3,5.9862E+3,1.2333E+3,1.9833E+3,6.6116E+3,7.0934E+3,9.3938E+2,5.3223E+3,3.6340E+3,2.8516E+3,3.3554E+3,4.3654E+3,3.5367E+3,5.6250E+3,3.7652E+2,6.2542E+3,5.6146E+3,6.4085E+3,2.8697E+3,2.3702E+3,4.6540E+2,3.4489E+3,3.3510E+3,3.6841E+3,2.4317E+3,2.9027E+3,3.1244E+3,2.6985E+3,3.6818E+3,1.2500E+3,3.5527E+3,4.1215E+3,2.9392E+3,2.1171E+2,6.5931E+3,2.0966E+3,4.2827E+3,3.7883E+3,4.0944E+2,1.3069E+3,7.5747E+2,1.8015E+2,5.9584E+3,1.6989E+3,2.0964E+3
sp|P29120|NEC1_HUMAN,Neuroendocrine convertase 1 OS=Homo sapiens OX=9606 GN=PCSK1 PE=1 SV=2,PCSK1,2.4868E+5,3.0416E+5,3.1340E+5,2.2819E+5,2.4069E+5,4.4920E+5,2.9757E+5,2.5794E+5,3.3083E+5,2.6586E+5,2.9402E+5,2.7043E+5,1.3056E+6,3.2343E+5,4.1954E+5,3.2334E+5,3.2505E+5,2.1110E+5,2.6953E+5,3.7639E+5,2.7081E+5,4.1395E+5,3.8749E+5,2.8861E+5,2.4327E+5,2.4982E+5,2.8566E+5,2.7125E+5,3.6685E+5,5.7069E+5,2.3266E+5,3.2133E+5,2.7618E+5,5.0681E+5,3.3767E+5,3.4049E+5,2.2444E+5,2.7438E+5,3.0043E+5,2.5325E+5,2.8449E+5,1.6528E+5,2.3389E+5,2.4318E+5,2.0724E+5,3.7265E+5,5.5310E+5,6.7788E+5
sp|Q08174|PCDH1_HUMAN,Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=2,PCDH1,1.2296E+6,2.6827E+6,1.6088E+6,1.3471E+6,1.7669E+6,1.7220E+6,1.4372E+6,1.1841E+6,2.2096E+6,1.1937E+6,1.7026E+6,1.5486E+6,1.4238E+6,1.6061E+6,2.0223E+6,1.4077E+6,1.4458E+6,2.4754E+6,1.3440E+6,1.6817E+6,1.7400E+6,1.9056E+6,2.8796E+6,2.7861E+6,8.4407E+5,1.3093E+6,1.6370E+6,1.8045E+6,1.6368E+6,2.2102E+6,1.0627E+6,3.1056E+6,9.7046E+5,2.3043E+6,1.7174E+6,1.8513E+6,2.0547E+6,1.6669E+6,1.2515E+6,1.1653E+6,1.5071E+6,9.7171E+5,1.0711E+6,1.1278E+6,2.9875E+6,1.8636E+6,2.1557E+6,3.0447E+6
sp|Q13444|ADA15_HUMAN,Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4,ADAM15,6.1764E+5,7.0025E+5,8.8779E+5,7.2356E+5,9.5575E+5,8.9609E+5,8.5669E+5,6.7860E+5,8.7896E+5,6.0576E+5,7.9074E+5,1.0263E+6,5.9761E+5,1.0785E+6,9.3604E+5,7.5012E+5,6.9534E+5,1.7438E+5,6.8666E+5,9.8116E+5,8.8925E+5,1.0687E+6,7.2343E+5,1.6963E+5,6.5779E+5,8.6694E+5,7.4029E+5,9.5363E+5,1.0790E+6,9.2041E+5,8.3197E+5,8.0640E+5,6.1815E+5,8.0257E+5,1.1153E+6,8.9745E+5,1.4707E+5,8.6060E+5,7.7914E+5,6.8111E+5,6.7769E+5,6.7134E+5,7.2008E+5,7.5903E+5,1.7600E+5,8.0246E+5,1.2643E+6,8.7139E+5
